id,title,stockCode,memberType,kfifUrl
5936,ARTEMİS HALI A.Ş.,ARTMS,IGS,https://www.kap.org.tr/tr/kfif/8acae2c48c3efac0018dd4c742665c88
187,ARTI DEĞER ULUSLARARASI BAĞIMSIZ DENETİM VE YMM A.Ş.,,BDK,
2594,ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş.,ZRA,"FK, PYS",
2087,ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.,ARZUM,IGS,https://www.kap.org.tr/tr/kfif/4028e4a1415f4d990141600875c531b9
863,ARÇELİK A.Ş.,ARCLK,IGS,https://www.kap.org.tr/tr/kfif/4028e4a240e95dc90140ed55b43900cf
191,AS BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,,BDK,
5888,ASAŞ ALÜMİNYUM SANAYİ VE TİCARET A.Ş.,ASALU,IGMS,
4687,ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ASGYO,IGS,https://www.kap.org.tr/tr/kfif/8acae2c562329bd1016464c3796e08a0
866,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,ASELS,IGS,https://www.kap.org.tr/tr/kfif/4028e4a1413b7ef401413bc2251e0047
4680,ASTOR ENERJİ A.Ş.,ASTOR,IGS,https://www.kap.org.tr/tr/kfif/8acae2c562329bd10164405fe6c17996
867,ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ATAGY,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140e95bea0140eddf432a0115
2300,ATA PORTFÖY YÖNETİMİ A.Ş.,APY,"FK, PYS",
89,ATA ULUSLARARASI BAĞIMSIZ DENETİM VE SMMM A.Ş.,,BDK,
1268,ATA YATIRIM MENKUL KIYMETLER A.Ş.,"ATA, ATAYM","IGS, YK",
5841,ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,ATAKP,IGS,https://www.kap.org.tr/tr/kfif/8acae2c586d22c53018953500b004578
868,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AGYO,IGS,https://www.kap.org.tr/tr/kfif/4028e4a240f2ef4c0141164a06d8043a
2088,ATILIM FAKTORİNG A.Ş.,ATLFA,IGS,
869,ATLANTİS YATIRIM HOLDİNG A.Ş.,ATSYH,IGS,https://www.kap.org.tr/tr/kfif/4028e4a241558bd9014155dde60a05e7
870,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,ATLAS,IGS,https://www.kap.org.tr/tr/kfif/4028e4a240f2ef4c0141029fff920169
2354,ATLAS PORTFÖY YÖNETİMİ A.Ş.,ALA,"FK, PYS",
5348,ATP YAZILIM VE TEKNOLOJİ A.Ş.,ATATP,IGS,https://www.kap.org.tr/tr/kfif/8acae2c4794d364801798f781baf0fad
2349,AURA PORTFÖY YÖNETİMİ A.Ş.,TLR,"FK, PYS",
871,AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AVGYO,IGS,https://www.kap.org.tr/tr/kfif/4028e4a240f2ef4c0141029cf7680164
1454,AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,AVTUR,IGS,https://www.kap.org.tr/tr/kfif/4028e4a241733d42014182b942a247e4
1691,AVRUPA YATIRIM HOLDİNG A.Ş.,AVHOL,IGS,https://www.kap.org.tr/tr/kfif/1DE05DAA81E9073AE0530A4A622A2EBD
5912,AVRUPAKENT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AVPGY,IGS,https://www.kap.org.tr/tr/kfif/8acae2c48c3efabf018c4824da4a0623
1805,AXA HAYAT VE EMEKLİLİK A.Ş.,,FK,
5317,AYDEM YENİLENEBİLİR ENERJİ A.Ş.,AYDEM,IGS,https://www.kap.org.tr/tr/kfif/8acae2c4782a4d580178b56e7c5c4404
